ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΒΑΓΙΩΝΑΚΗ ΕΥΑΓΓΕΛΙΑ του Νικολάου,ΜΑΝΙΜΑΝΑΚΗ ΑΙΚΑΤΕΡΙΝΗ του Ανδρέα,ΜΠΑΛΩΜΕΝΑΚΗΣ ΑΝΤΩΝΙΟΣ του Δημητρίου,ΠΟΛΑΚΗΣ ΠΑΥΛΟΣ του Πέτρου,ΣΤΑΘΑΚΗΣ ΓΕΩΡΓΙΟΣ του Μηνά,ΧΑΙΡΕΤΑΚΗΣ ΜΙΧΑΗΛ του Στέφανου,Νέα Δημοκρατία,ΒΟΛΟΥΔΑΚΗΣ ΜΑΝΟΥΣΟΣ - ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΔΙΓΑΛΑΚΗΣ ΒΑΣΙΛΕΙΟΣ του Βασιλείου,ΚΑΣΣΕΛΑΚΗΣ ΙΩΑΝΝΗΣ του Βασιλείου,ΜΠΑΚΟΓΙΑΝΝΗ ΘΕΟΔΩΡΑ (ΝΤΟΡΑ) του Κωνσταντίνου,ΣΤΑΣΣΙΝΟΥ ΧΡΙΣΤΙΝΑ - ΕΛΒΙΡΑ (ΕΛΒΗ) του Φαίδρου,ΦΡΑΓΚΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Τιμολέοντος,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΑΓΓΕΛΑΚΗΣ ΝΕΚΤΑΡΙΟΣ του Δημητρίου,ΓΑΡΜΠΙΔΑΚΗΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΘΕΟΔΩΡΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Θεοδώρου,ΚΑΣΣΕΛΑΚΗ ΑΓΓΕΛΙΚΗ του Ευάγγελου,ΚΥΡΙΑΚΟΥ ΧΡΥΣΟΥΛΑ του Σπυρίδωνος,Κίνημα Αλλαγής,ΚΟΥΡΟΥΠΑΚΗ ΕΥΑΓΓΕΛΙΑ του Σταύρου,ΜΙΧΕΛΑΚΗ ΑΝΤΩΝΙΑ του Ιωάννη,ΜΟΥΝΤΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Μιχαήλ,ΝΤΕΡΜΑΝΑΚΗΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΠΟΛΙΟΥΔΑΚΗΣ ΓΕΩΡΓΙΟΣ του Παύλου,ΣΤΑΓΚΟΥΡΑΚΗΣ ΑΛΕΞΑΝΔΡΟΣ του Γεωργίου,Κ.Κ.Ε.,ΓΑΥΓΙΩΤΑΚΗ ΜΑΡΙΑ του Κωνσταντίνου,ΚΛΩΝΙΖΑΚΗΣ ΜΙΛΤΙΑΔΗΣ του Ιωάννη,ΜΑΡΙΝΑΚΗΣ ΑΛΕΞΑΝΔΡΟΣ του Κωνσταντίνου,ΝΙΚΟΛΟΠΟΥΛΟΥ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,ΝΤΟΥΝΙΑΔΑΚΗΣ ΙΩΑΝΝΗΣ του Ελευθερίου,ΡΗΓΑΝΑΚΟΣ ΦΩΤΙΟΣ του Δημητρίου,Ένωση Κεντρώων,ΑΡΧΟΝΤΑΚΗΣ ΕΥΤΥΧΙΟΣ του Στυλιανού,ΜΑΝΙΜΑΝΑΚΗΣ ΑΛΕΞΑΝΔΡΟΣ του Σπυρίδωνος,ΣΤΑ ΜΑΡΙΑ ΧΡΗΣΤΟΣ του Αλεξάντερ,ΣΩΤΗΡΙΟΥ ΧΡΙΣΤΙΝΑ του Αναστασίου,ΧΑΤΖΗΑΘΑΝΑΣΙΟΥ ΓΙΑΝΝΟΥΛΑ του Διονυσίου,Ο.Κ.Δ.Ε.,ΚΟΥΚΟΥΒΙΤΑΚΗΣ ΕΥΣΤΡΑΤΙΟΣ του Ανδρέα,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΓΑΛΑΝΑΚΗΣ ΧΡΗΣΤΟΣ του Νικολάου,ΚΑΛΙΤΣΟΥΝΑΚΗ ΜΑΡΙΑ του Ελευθερίου,ΚΟΝΔΥΛΗ - ΣΑΡΙΚΑ ΦΟΙΒΗ του Γεωργίου,ΜΠΙΤΣΑΚΗ ΧΑΡΙΚΛΕΙΑ του Ευτυχίου,ΦΙΩΤΑΚΗΣ ΕΜΜΑΝΟΥΗΛ του Σπυρίδωνα,Ελλήνων Συνέλευσις,ΚΑΤΣΑΝΕΒΑΚΗΣ ΙΑΚΩΒΟΣ του Κωνσταντίνου,ΚΟΥΡΟΥΠΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΜΠΑΣΑΚΗ ΟΛΓΑ του Νικολάου,ΠΑΥΛΑΚΗ ΜΑΡΙΛΕΝΑ του Γεωργίου,ΣΑΜΙΟΥ ΜΑΡΙΑ του Παναγιώτη,ΧΑΤΖΗΓΙΑΝΝΗΣ ΜΙΧΑΗΛ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΡΑΚΑΤΣΑΝΗΣ ΘΕΟΔΩΡΟΣ του Ιωάννη,ΛΑΪΛΑΚΙΔΟΥ ΕΛΠΙΣ του Λαζάρου,ΛΥΚΑΚΗΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΠΑΝΑΓΟΠΟΥΛΟΥ ΠΑΝΑΓΙΩΤΑ του Χρήστου,ΠΑΠΑΔΑΚΗΣ ΕΥΣΤΡΑΤΙΟΣ του Εμμανουήλ,Κ.Κ.Ε. (μ-λ),ΑΡΧΟΛΕΩΝ ΑΡΤΕΜΙΟΣ του Κωνσταντίνου,ΚΟΚΟΛΑΝΤΩΝΑΚΗΣ ΝΕΚΤΑΡΙΟΣ του Νικολάου,ΠΑΤΕΡΑΚΗ ΣΟΦΙΑ του Εμμανουήλ,ΠΕΡΑΚΗ ΜΥΡΤΩ του Θεοδώρου,ΠΕΡΡΑΚΗΣ ΙΩΑΝΝΗΣ του Αντωνίου,ΧΑΡΤΖΟΥΛΑΚΗΣ ΙΩΑΝΝΗΣ του Νικολάου,Μ-Λ Κ.Κ.Ε.,ΠΕΤΡΑΚΗ ΝΙΚΗ του Κωνσταντίνου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΝΑΣΤΑΣΑΚΗΣ ΑΝΤΩΝΙΟΣ του Ιωάννη,ΑΠΟΣΤΟΛΑΚΗ ΕΛΕΝΗ του Ιωάννη,ΚΑΤΣΑΝΕΒΑΚΗΣ ΑΛΕΞΑΝΔΡΟΣ του Ελευθερίου,ΠΟΥΛΙΟΥ ΕΛΕΝΗ του Αποστόλου,Λαϊκή Ενότητα,ΒΟΥΓΙΟΥΚΑΛΑΚΗ - ΜΠΙΡΜΠΙΛΗ ΕΛΕΝΗ του Ιωάννη,ΚΑΛΛΙΓΙΑΝΝΗ - ΜΠΑΔΟΓΙΑΝΝΗ ΛΟΥΚΙΑ του Γεωργίου,ΜΥΛΩΝΑΚΗΣ ΙΩΑΝΝΗΣ του Εμμανουήλ,ΤΖΙΝΕΥΡΑΚΗΣ ΝΙΚΟΛΑΟΣ του Εμμανουήλ,ΜέΡΑ25,ΓΙΑΝΝΟΥΛΑΚΗ ΑΘΗΝΑ του Μιχαήλ,ΓΩΓΑΚΗΣ ΙΑΚΩΒΟΣ του Παναγιώτη,ΣΚΑΜΝΑΚΗΣ ΑΝΤΩΝΙΟΣ του Κυριάκου,ΤΣΙΧΛΑΚΗ ΒΙΡΓΙΝΙΑ του Σοφοκλή,ΦΙΛΗΣ ΙΩΑΝΝΗΣ του Αναστασίου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΝΑΓΝΩΣΤΟΥ ΕΥΘΑΛΙΑ του Γεωργίου,ΚΟΝΤΟΡΟΥΧΑΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΣΑΡΑΝΤΟΓΛΟΥ ΕΛΕΝΗ του Γεωργίου,ΣΠΥΡΙΔΑΚΗΣ ΜΙΝΩΣ του Ευθυμίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΠΑΝΑΓΙΩΤΑΚΗ ΘΕΑΝΩ (ΝΑΝΑ) του Ιωάννη,ΦΡΟΝΙΜΑΚΗΣ ΙΩΑΝΝΗΣ του Εμμανουήλ,ΧΑΛΑΜΠΑΡΔΑΚΗ ΑΙΚΑΤΕΡΙΝΗ του Αντώνη
53 - Χανίων,1 E.T. Δήμου Αποκορώνου,538,328,8,2,10,318,90,47,12,10,45,15,18,101,32,16,10,60,8,42,27,0,0,0,0,0,21,13,1,2,9,3,0,31,22,4,9,1,11,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,7,2,1,1,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,4,1,2,5,5,1,0,0,0,0,10,0,0,0
53 - Χανίων,2 E.T. Δήμου Αποκορώνου,555,295,1,5,6,289,66,27,14,1,26,22,3,102,49,21,5,56,3,40,26,0,0,0,0,0,14,6,0,7,6,1,0,46,38,1,12,1,16,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,3,2,5,3,3,1,0,0,0,0,10,0,0,0
53 - Χανίων,3 E.T. Δήμου Αποκορώνου,566,315,5,3,8,307,95,51,10,6,39,34,11,112,40,16,6,79,3,47,14,0,0,0,0,0,11,6,1,2,7,0,0,25,17,1,6,2,9,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,6,3,1,4,1,3,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,13,5,2,4,2,4,2,0,0,0,0,15,0,0,0
53 - Χανίων,4 E.T. Δήμου Αποκορώνου,537,311,6,4,10,301,93,32,17,7,51,25,10,101,35,26,1,67,3,18,3,0,0,0,0,0,29,22,2,8,10,1,1,29,8,3,3,4,4,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7,2,1,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,5,1,4,4,3,1,0,0,0,0,12,0,0,0
53 - Χανίων,5 E.T. Δήμου Αποκορώνου,86,51,0,1,1,50,29,22,6,1,12,8,1,9,1,0,1,6,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
53 - Χανίων,6 E.T. Δήμου Αποκορώνου,124,81,2,0,2,79,41,15,9,11,18,10,1,13,8,0,5,6,0,2,0,0,0,0,0,0,5,4,0,0,1,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,3,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,0,0,1,2,0,0,0,0,0,2,0,0,0
53 - Χανίων,7 E.T. Δήμου Αποκορώνου,322,189,5,3,8,181,55,31,5,2,33,13,6,80,39,11,1,38,9,20,2,0,0,0,0,0,9,4,0,1,3,1,1,10,9,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,12,0,0,0
53 - Χανίων,8 E.T. Δήμου Αποκορώνου,405,264,1,9,10,254,89,52,12,6,39,18,4,84,39,21,2,37,6,19,4,0,0,0,0,0,13,7,2,0,6,1,0,16,11,5,1,0,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,1,1,0,1,0,10,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,7,4,2,1,0,2,1,0,0,0,0,11,0,0,0
53 - Χανίων,9 E.T. Δήμου Αποκορώνου,351,219,2,1,3,216,95,48,13,8,44,27,11,37,21,2,0,22,1,10,6,0,0,0,0,0,25,17,9,2,8,1,0,28,17,4,21,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,10,6,0,0,3,2,0,0,0,0,0,4,0,0,0
53 - Χανίων,10 E.T. Δήμου Αποκορώνου,263,172,3,1,4,168,44,17,3,3,30,12,3,72,52,15,4,34,5,9,2,1,0,2,1,0,14,13,1,2,4,2,0,10,8,1,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7,3,2,2,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,10,6,2,1,2,4,0,0,0,0,0,3,0,0,0
53 - Χανίων,11 E.T. Δήμου Αποκορώνου,360,223,2,1,3,220,82,32,10,5,52,20,11,85,51,21,4,48,3,11,7,0,0,0,0,0,9,5,0,1,5,2,0,9,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,3,2,3,0,0,0,0,8,0,0,0
53 - Χανίων,12 E.T. Δήμου Αποκορώνου,348,228,3,0,3,225,42,8,4,3,26,10,3,138,63,16,11,103,10,24,6,0,0,0,0,0,18,15,2,3,7,0,1,2,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,9,0,0,0
53 - Χανίων,13 E.T. Δήμου Αποκορώνου,390,244,2,1,3,241,83,14,7,13,68,8,2,100,40,12,4,84,6,4,3,0,0,0,0,0,20,12,2,1,9,5,1,9,2,2,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,3,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,1,1,0,0,6,0,0,0,0,4,0,0,0
53 - Χανίων,14 E.T. Δήμου Αποκορώνου,459,245,5,0,5,240,90,29,12,6,52,31,8,75,46,14,3,45,4,5,6,0,0,0,0,0,12,5,4,5,3,1,0,16,6,4,1,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,19,8,0,0,5,4,3,0,0,0,0,12,0,0,0
53 - Χανίων,15 E.T. Δήμου Αποκορώνου,379,212,3,4,7,205,95,39,9,9,41,36,13,58,27,12,6,40,3,11,2,0,0,0,0,0,6,2,1,0,2,1,0,11,9,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,5,3,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,3,0,3,4,2,1,0,0,0,0,13,0,0,0
53 - Χανίων,16 E.T. Δήμου Αποκορώνου,524,301,2,1,3,298,130,40,13,11,56,48,13,42,20,6,1,26,1,11,2,0,0,0,0,0,23,6,2,6,8,5,0,27,18,8,12,5,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,2,1,1,1,3,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,13,4,1,2,5,2,2,0,0,0,0,39,0,0,0
53 - Χανίων,17 E.T. Δήμου Αποκορώνου,253,157,2,1,3,154,59,20,12,7,31,15,9,39,11,11,0,21,2,3,4,0,0,0,0,0,3,1,2,0,1,0,0,18,12,3,5,5,1,6,7,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,9,3,3,1,3,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,1,1,3,1,2,0,0,0,0,0,0,0,0,0
53 - Χανίων,18 E.T. Δήμου Αποκορώνου,181,119,0,0,0,119,33,11,3,3,13,12,2,59,26,8,3,44,2,9,7,0,0,0,0,0,1,1,0,1,0,0,0,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,1,1,1,0,0,0,0,5,0,0,0
53 - Χανίων,19 E.T. Δήμου Αποκορώνου,258,156,0,1,1,155,67,20,12,16,26,23,4,35,15,8,0,27,1,6,4,1,1,1,0,0,9,5,1,3,3,0,0,9,2,3,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,2,1,4,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,0,0,1,3,2,0,0,0,0,8,0,0,0
53 - Χανίων,20 E.T. Δήμου Αποκορώνου,311,202,5,2,7,195,89,19,9,21,49,35,10,35,18,7,2,22,3,2,2,0,0,0,0,0,8,3,0,6,2,1,0,22,10,11,4,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,0,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,3,0,0,4,0,1,0,0,0,0,22,0,0,0
53 - Χανίων,21 E.T. Δήμου Αποκορώνου,186,116,2,1,3,113,40,14,3,2,21,11,2,38,12,5,0,24,1,10,1,0,0,0,0,0,6,3,1,0,4,0,0,10,4,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,2,0,0,0,0,0,10,0,0,0
53 - Χανίων,22 E.T. Δήμου Αποκορώνου,288,184,1,1,2,182,61,22,11,6,28,28,4,48,34,8,2,40,0,5,2,0,0,0,0,0,16,6,1,3,11,4,0,17,10,4,3,3,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,2,0,3,15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,1,2,1,2,0,0,0,0,0,0,7,0,0,0
53 - Χανίων,23 E.T. Δήμου Αποκορώνου,270,146,3,1,4,142,47,12,6,5,19,19,2,31,14,4,5,20,2,5,3,0,0,0,0,0,16,7,4,1,4,1,1,8,3,3,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,1,2,0,0,0,0,23,0,0,0
53 - Χανίων,24 E.T. Δήμου Αποκορώνου,331,179,5,0,5,174,51,13,5,11,21,18,4,63,34,10,5,32,2,15,2,0,0,0,0,0,8,4,0,1,2,1,1,10,3,1,0,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,2,2,2,3,0,0,0,0,19,0,0,0
53 - Χανίων,25 E.T. Δήμου Αποκορώνου,257,117,2,1,3,114,34,14,6,3,13,13,0,37,19,1,1,25,3,3,2,0,0,0,0,0,15,4,0,1,12,5,0,6,5,3,1,1,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,2,1,2,0,3,0,0,0,0,0,6,0,0,0
53 - Χανίων,26 E.T. Δήμου Αποκορώνου,474,279,2,0,2,277,100,22,8,3,65,34,6,118,53,28,2,70,3,33,7,0,0,0,0,0,17,7,1,0,11,2,2,8,3,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,2,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,2,1,1,1,0,0,0,0,9,0,0,0
53 - Χανίων,27 E.T. Δήμου Αποκορώνου,557,288,8,2,10,278,84,22,9,2,53,23,10,125,50,31,1,96,5,26,1,0,0,0,0,0,35,16,3,2,22,6,0,4,2,2,0,0,0,0,4,3,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,8,3,0,3,0,0,3,0,0,0,0,7,0,0,0
53 - Χανίων,28 E.T. Δήμου Αποκορώνου,438,240,3,1,4,236,87,20,16,6,56,34,4,89,56,17,0,59,3,10,10,0,0,0,0,0,12,6,3,1,9,0,0,7,2,0,5,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,1,0,4,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,1,1,1,0,0,0,0,8,0,0,0
53 - Χανίων,29 E.T. Δήμου Αποκορώνου,286,154,1,0,1,153,48,11,3,4,30,15,6,43,30,9,0,23,3,7,3,0,0,0,0,0,25,22,1,2,12,3,2,10,2,3,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,3,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,8,3,2,0,3,1,1,0,0,0,0,6,0,0,0
53 - Χανίων,30 E.T. Δήμου Αποκορώνου,497,282,5,2,7,275,88,23,4,3,50,27,13,113,54,19,2,86,3,11,4,0,0,0,0,0,23,17,1,3,15,2,2,16,11,1,8,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,3,0,3,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,1,0,1,2,0,1,0,0,0,0,3,0,0,0
53 - Χανίων,31 E.T. Δήμου Αποκορώνου,567,318,8,4,12,306,95,26,10,2,46,20,4,106,40,24,1,77,3,21,3,0,0,0,0,0,19,11,0,4,11,2,1,31,21,12,16,2,0,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,15,2,2,5,3,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,15,0,2,4,4,3,4,0,0,0,0,10,0,0,0
53 - Χανίων,32 E.T. Δήμου Αποκορώνου,338,204,1,1,2,202,39,11,6,7,23,17,5,96,50,22,1,68,9,12,6,0,0,0,0,0,13,11,1,0,4,3,1,14,5,4,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,1,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,3,4,1,1,0,0,0,0,6,0,0,0
53 - Χανίων,33 E.T. Δήμου Αποκορώνου,430,251,1,1,2,249,113,23,21,7,69,45,16,71,21,28,6,56,4,6,3,0,0,0,0,0,28,21,2,1,16,5,0,8,3,2,2,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,3,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,5,3,2,2,3,0,4,0,0,0,0,4,0,0,0
53 - Χανίων,34 E.T. Δήμου Αποκορώνου,317,203,1,4,5,198,86,26,11,6,50,26,11,65,47,3,2,36,2,0,2,0,0,0,0,0,15,9,0,1,13,2,0,7,6,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,6,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,6,0,2,3,3,0,0,0,0,0,2,0,0,0
53 - Χανίων,35 E.T. Δήμου Αποκορώνου,453,281,4,0,4,277,67,16,4,1,38,27,3,130,55,37,3,82,2,13,6,0,0,0,0,0,32,7,1,0,27,1,0,11,3,3,2,0,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,7,0,2,0,2,4,0,0,0,0,5,0,0,0
53 - Χανίων,36 E.T. Δήμου Αποκορώνου,495,281,2,5,7,274,53,12,7,1,39,17,6,145,86,34,0,102,2,0,7,0,0,0,0,0,24,4,1,0,23,1,0,11,8,2,8,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,12,0,0,3,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,4,2,2,2,2,1,0,0,0,0,5,0,0,0
53 - Χανίων,37 E.T. Δήμου Αποκορώνου,527,320,9,0,9,311,108,38,14,2,62,34,5,92,62,17,0,64,2,5,6,0,0,0,0,0,36,17,0,1,28,3,0,36,28,1,23,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,2,0,4,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,3,2,3,2,1,0,0,0,0,0,4,0,0,0
53 - Χανίων,38 E.T. Δήμου Αποκορώνου,278,108,3,1,4,104,29,4,1,6,15,8,1,42,19,15,4,26,1,6,3,0,0,0,0,0,10,6,0,0,8,0,0,6,6,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,2,1,0,0,0,0,0,1,0,0,0
53 - Χανίων,39 E.T. Δήμου Αποκορώνου,345,155,1,1,2,153,33,7,3,2,17,18,2,73,27,38,1,55,3,10,5,0,0,0,0,0,20,9,2,1,15,2,0,7,5,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,2,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,2,0,0,0,0,0,0,3,0,0,0
53 - Χανίων,40 E.T. Δήμου Αποκορώνου,346,211,5,1,6,205,59,18,10,2,33,17,4,91,49,20,7,38,6,5,4,0,0,0,0,0,18,7,0,2,12,3,1,10,6,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,9,4,2,1,2,2,0,0,0,0,0,5,0,0,0
53 - Χανίων,41 E.T. Δήμου Αποκορώνου,188,121,2,0,2,119,42,5,1,4,27,9,5,40,28,5,3,20,1,3,1,0,0,0,0,0,24,8,0,2,19,0,0,3,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
